term,HR,lower,upper,p
age_std,1.3462618955850987,1.1734118902195572,1.5445736544950646,2.2268664729469925e-5
gendermale,1.2587435845221275,0.9682391063629435,1.6364092311116492,0.08563769465643252
stage_groupII,2.288118561549833,1.677662890632944,3.120702365737879,1.7157778784307907e-7
stage_groupIII,4.466936307361069,3.236539366307579,6.1650787201098085,8.658853249376433e-20
stage_groupIV,NA,NA,NA,NA
prolif_score,1.2401695116467515,1.082478144628681,1.4208327671555199,0.0019211425020733799
