term,HR,lower,upper,p
age_std,1.1515090352101978,0.9448633592576424,1.4033490082761886,0.1621273411619796
gendermale,1.0901439560782014,0.7525153795856859,1.5792552248276162,0.6480979509228028
stage_groupII,2.454779476673843,1.5469116802273124,3.895466273946304,1.3805455064881217e-4
stage_groupIII,3.1791055145290517,1.9690323385772999,5.132831835464677,2.22333737560184e-6
stage_groupIV,3.0010733970573584,1.470469578377986,6.124874439401884,0.0025334945967523674
prolif_score,1.3457416381939913,1.1080571581000818,1.6344107734246258,0.002746188060996299
