term,chisq,df,p
age_std,1.7272676802560456,1,0.18876021648190947
gender,2.582368740091522,1,0.10805984624946945
stage_group,6.259234169890593,3,0.09965696860173143
prolif_score,1.1779966612498656,1,0.2777642131465441
GLOBAL,12.481941378642404,6,0.05204146466400056
